,Occupation_Code,Occupation_Title,Total_Employees,Mean_Annual_Wage,Annual_10th_Percentile_Wage,Annual_25th_Percentile_Wage,Annual_Median_Wage,Annual_75th_Percentile_Wage,Annual_90th_Percentile_Wage
0,00-0000,All Occupations,"140,400,040","49,630","19,290","24,140","37,040","60,150","94,540"
1,11-0000,Management Occupations,"7,090,790","118,020","47,330","68,630","100,790","147,090",#
2,11-1000,Top Executives,"2,465,800","126,950","42,810","65,420","102,320","162,970",#
3,11-1010,Chief Executives,"223,260","194,350","69,780","114,100","181,210",#,#
4,11-1011,Chief Executives,"223,260","194,350","69,780","114,100","181,210",#,#
5,11-1020,General and Operations Managers,"2,188,870","122,090","44,290","64,890","99,310","155,020",#
6,11-1021,General and Operations Managers,"2,188,870","122,090","44,290","64,890","99,310","155,020",#
7,11-1030,Legislators,"53,670","44,820","17,230","18,560","23,470","67,670","96,500"
8,11-1031,Legislators,"53,670","44,820","17,230","18,560","23,470","67,670","96,500"
9,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers","663,960","136,020","58,450","82,820","120,420","169,110",#
10,11-2010,Advertising and Promotions Managers,"28,860","117,810","44,950","67,000","100,810","147,640",#
11,11-2011,Advertising and Promotions Managers,"28,860","117,810","44,950","67,000","100,810","147,640",#
12,11-2020,Marketing and Sales Managers,"571,120","138,350","59,280","84,270","122,930","172,390",#
13,11-2021,Marketing Managers,"205,900","144,140","67,490","93,200","131,180","178,690",#
14,11-2022,Sales Managers,"365,230","135,090","55,790","79,420","117,960","168,300",#
15,11-2030,Public Relations and Fundraising Managers,"63,970","123,360","59,070","78,710","107,320","151,970","205,110"
16,11-2031,Public Relations and Fundraising Managers,"63,970","123,360","59,070","78,710","107,320","151,970","205,110"
17,11-3000,Operations Specialties Managers,"1,693,430","125,470","61,040","81,680","112,080","153,250","204,860"
18,11-3010,Administrative Services Managers,"266,280","98,930","49,270","66,180","90,050","120,990","159,330"
19,11-3011,Administrative Services Managers,"266,280","98,930","49,270","66,180","90,050","120,990","159,330"
20,11-3020,Computer and Information Systems Managers,"352,510","145,740","82,360","105,290","135,800","170,670",#
21,11-3021,Computer and Information Systems Managers,"352,510","145,740","82,360","105,290","135,800","170,670",#
22,11-3030,Financial Managers,"543,300","139,720","65,000","87,530","121,750","168,790",#
23,11-3031,Financial Managers,"543,300","139,720","65,000","87,530","121,750","168,790",#
24,11-3050,Industrial Production Managers,"168,400","107,060","58,610","74,670","97,140","127,590","165,450"
25,11-3051,Industrial Production Managers,"168,400","107,060","58,610","74,670","97,140","127,590","165,450"
26,11-3060,Purchasing Managers,"71,750","117,720","63,380","82,880","111,590","142,820","177,560"
27,11-3061,Purchasing Managers,"71,750","117,720","63,380","82,880","111,590","142,820","177,560"
28,11-3070,"Transportation, Storage, and Distribution Managers","113,270","97,630","52,670","68,140","89,190","117,300","152,730"
29,11-3071,"Transportation, Storage, and Distribution Managers","113,270","97,630","52,670","68,140","89,190","117,300","152,730"
30,11-3110,Compensation and Benefits Managers,"15,230","126,900","66,150","87,120","116,240","156,050","199,950"
31,11-3111,Compensation and Benefits Managers,"15,230","126,900","66,150","87,120","116,240","156,050","199,950"
32,11-3120,Human Resources Managers,"129,810","120,210","63,140","80,800","106,910","145,220","193,550"
33,11-3121,Human Resources Managers,"129,810","120,210","63,140","80,800","106,910","145,220","193,550"
34,11-3130,Training and Development Managers,"32,880","115,180","57,760","78,050","105,830","139,260","184,990"
35,11-3131,Training and Development Managers,"32,880","115,180","57,760","78,050","105,830","139,260","184,990"
36,11-9000,Other Management Occupations,"2,267,610","97,480","42,480","60,570","87,420","122,070","161,540"
37,11-9010,"Farmers, Ranchers, and Other Agricultural Managers","4,560","75,790","35,020","47,160","66,360","90,860","126,070"
38,11-9013,"Farmers, Ranchers, and Other Agricultural Managers","4,560","75,790","35,020","47,160","66,360","90,860","126,070"
39,11-9020,Construction Managers,"249,650","99,510","53,740","68,050","89,300","119,710","158,330"
40,11-9021,Construction Managers,"249,650","99,510","53,740","68,050","89,300","119,710","158,330"
41,11-9030,Education Administrators,"464,070","93,160","46,620","64,940","86,950","113,640","145,250"
42,11-9031,"Education Administrators, Preschool and Childcare Center/Program","48,530","52,150","29,230","35,690","45,790","61,250","82,790"
43,11-9032,"Education Administrators, Elementary and Secondary School","242,970","95,390","59,910","73,710","92,510","114,950","135,770"
44,11-9033,"Education Administrators, Postsecondary","138,430","105,770","51,690","66,730","90,760","126,750","179,250"
45,11-9039,"Education Administrators, All Other","34,140","84,400","42,910","56,910","78,210","103,880","131,410"
46,11-9040,Architectural and Engineering Managers,"178,390","143,870","86,000","108,040","134,730","167,290","207,400"
47,11-9041,Architectural and Engineering Managers,"178,390","143,870","86,000","108,040","134,730","167,290","207,400"
48,11-9050,Food Service Managers,"201,470","56,010","29,290","38,260","50,820","66,990","87,120"
49,11-9051,Food Service Managers,"201,470","56,010","29,290","38,260","50,820","66,990","87,120"
50,11-9060,Funeral Service Managers,"8,370","88,970","39,240","54,950","73,830","104,760","147,990"
51,11-9061,Funeral Service Managers,"8,370","88,970","39,240","54,950","73,830","104,760","147,990"
52,11-9070,Gaming Managers,"4,280","79,690","43,830","53,950","69,180","92,670","124,400"
53,11-9071,Gaming Managers,"4,280","79,690","43,830","53,950","69,180","92,670","124,400"
54,11-9080,Lodging Managers,"35,410","59,410","28,870","37,520","51,840","70,540","96,570"
55,11-9081,Lodging Managers,"35,410","59,410","28,870","37,520","51,840","70,540","96,570"
56,11-9110,Medical and Health Services Managers,"332,150","109,370","56,970","73,710","96,540","127,030","172,240"
57,11-9111,Medical and Health Services Managers,"332,150","109,370","56,970","73,710","96,540","127,030","172,240"
58,11-9120,Natural Sciences Managers,"54,780","136,150","66,920","92,070","119,850","160,990",#
59,11-9121,Natural Sciences Managers,"54,780","136,150","66,920","92,070","119,850","160,990",#
60,11-9130,Postmasters and Mail Superintendents,"14,720","71,980","56,190","63,250","71,670","81,840","89,930"
61,11-9131,Postmasters and Mail Superintendents,"14,720","71,980","56,190","63,250","71,670","81,840","89,930"
62,11-9140,"Property, Real Estate, and Community Association Managers","180,290","70,290","28,260","39,910","57,040","83,110","126,390"
