,Occupation_Code,Occupation_Title,Total_Employees,Mean_Annual_Wage,Annual_10th_Percentile_Wage,Annual_25th_Percentile_Wage,Annual_Median_Wage,Annual_75th_Percentile_Wage,Annual_90th_Percentile_Wage,Probability of Automation,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
0,0,All Occupations,"140,400,040","49,630","19,290","24,140","37,040","60,150","94,540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,110000,Management Occupations,"7,090,790","118,020","47,330","68,630","100,790","147,090",#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,111000,Top Executives,"2,465,800","126,950","42,810","65,420","102,320","162,970",#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,111010,Chief Executives,"223,260","194,350","69,780","114,100","181,210",#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,111011,Chief Executives,"223,260","194,350","69,780","114,100","181,210",#,#,0.015,1030.0,760.0,5750.0,2710.0,31150.0,880.0,1410.0,340.0,2840.0,14120.0,6750.0,1840.0,1400.0,17440.0,4950.0,2050.0,4410.0,3440.0,1010.0,920.0,1800.0,11020.0,6260.0,7490.0,940.0,5180.0,600.0,690.0,1410.0,940.0,700.0,70.0,15410.0,4310.0,920.0,5340.0,6370.0,2650.0,9230.0,390.0,3400.0,560.0,5460.0,5890.0,3650.0,280.0,6320.0,5910.0,980.0,3740.0,160.0
5,111020,General and Operations Managers,"2,188,870","122,090","44,290","64,890","99,310","155,020",#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,111021,General and Operations Managers,"2,188,870","122,090","44,290","64,890","99,310","155,020",#,0.16,26930.0,6490.0,43300.0,20680.0,261780.0,41540.0,33280.0,4080.0,26610.0,77340.0,90520.0,11070.0,12250.0,121040.0,49210.0,25900.0,19620.0,26190.0,29920.0,12360.0,47850.0,71880.0,58040.0,41480.0,24110.0,41440.0,4490.0,14420.0,17480.0,11030.0,44800.0,15550.0,162870.0,53770.0,7010.0,64710.0,27400.0,32350.0,70430.0,6640.0,31780.0,3730.0,44400.0,168610.0,36200.0,2760.0,52380.0,43760.0,10200.0,32350.0,4840.0
7,111030,Legislators,"53,670","44,820","17,230","18,560","23,470","67,670","96,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,111031,Legislators,"53,670","44,820","17,230","18,560","23,470","67,670","96,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,112000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers","663,960","136,020","58,450","82,820","120,420","169,110",#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,112010,Advertising and Promotions Managers,"28,860","117,810","44,950","67,000","100,810","147,640",#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
