Color,Quality,Volatile Acidity,Density,Alcohol,pH,Residual Sugar,Sulphates,Chlorides
white,9,0.26,0.99,12.9,3.37,2.2,0.42,0.03
white,9,0.36,0.99,12.7,3.28,4.2,0.36,0.02
white,9,0.24,0.99,12.5,3.28,2.0,0.48,0.03
white,9,0.36,0.99,12.4,3.41,1.6,0.61,0.02
white,9,0.27,1.0,10.4,3.2,10.6,0.46,0.04
white,8,0.33,0.99,14.0,3.33,1.2,0.59,0.02
red,8,0.49,0.99,14.0,3.5,1.8,0.82,0.04
red,8,0.42,0.99,14.0,3.72,2.0,0.74,0.06
white,8,0.46,0.99,13.4,3.39,2.1,0.77,0.03
white,8,0.45,0.99,13.4,2.94,2.7,0.38,0.04
red,8,0.62,1.0,13.4,3.22,5.2,0.69,0.09
white,8,0.46,0.99,13.4,3.39,2.1,0.77,0.03
white,8,0.37,0.99,13.4,3.04,6.1,0.26,0.03
white,8,0.45,0.99,13.4,3.22,6.4,0.27,0.03
white,8,0.37,0.99,13.4,3.04,6.1,0.26,0.03
white,8,0.53,0.99,13.2,3.2,2.7,0.53,0.04
white,8,0.53,0.99,13.2,3.2,2.7,0.53,0.04
white,8,0.16,0.99,13.2,3.23,1.1,0.34,0.03
white,8,0.17,0.99,13.1,3.31,1.0,0.4,0.04
red,8,0.54,0.99,13.1,3.2,2.5,0.72,0.08
white,8,0.28,0.99,13.1,2.98,4.3,0.64,0.03
white,8,0.32,0.99,13.0,3.16,4.3,0.57,0.03
white,8,0.34,0.99,13.0,3.55,2.2,0.49,0.02
white,8,0.32,0.99,13.0,3.16,4.3,0.57,0.03
white,8,0.44,0.99,13.0,3.13,5.45,0.32,0.01
white,8,0.41,0.99,13.0,2.96,1.8,0.35,0.03
white,8,0.3,0.99,13.0,3.56,1.5,0.48,0.04
white,8,0.29,0.99,12.9,3.27,5.7,0.34,0.04
white,8,0.5,0.99,12.9,3.27,11.3,0.78,0.03
white,8,0.12,0.99,12.9,3.17,2.9,0.32,0.04
white,8,0.12,0.99,12.9,3.17,2.9,0.32,0.04
white,8,0.25,0.99,12.9,3.43,2.2,0.65,0.03
red,8,0.85,0.99,12.9,3.56,1.4,0.82,0.04
white,8,0.24,0.99,12.8,3.13,1.8,0.49,0.05
white,8,0.3,0.99,12.8,3.36,2.7,0.53,0.04
white,8,0.22,0.99,12.8,3.57,4.2,0.36,0.03
white,8,0.32,0.99,12.8,3.46,4.3,0.36,0.03
white,8,0.42,0.99,12.8,3.14,4.3,0.45,0.04
